AssemblyAccession;GenomeID;Locus;Genes;CDS;Proteine;tRNAs;rRNAs;ncRNAs
GCA_949452185.1;None;None;None;None;None;None;None;None
GCF_029667155.1;2483962989;JARUHN000000000;2.529;2.468;2.373;50;2.2.3(5S.16S.23S);4
GCA_029105225.1;None;None;None;None;None;None;None;None
GCA_947425635.1;None;None;None;None;None;None;None;None
GCA_946551055.1;None;None;None;None;None;None;None;None
GCF_024621885.1;2285045498;JANKBW000000000;2.551;2.498;2.481;41;5.1.2(5S.16S.23S);4
GCF_024422975.1;2279038632;QOIS00000000;2.904;2.843;2.788;48;6.2.1(5S.16S.23S);4
GCF_024422955.1;None;None;None;None;None;None;None;None
GCF_023716225.1;2257489923;CP098674;2.545;2.460;2.431;59;8.7.7(5S.16S.23S);4
GCA_943912905.1;None;None;None;None;None;None;None;None
GCF_925279085.1;2255981629;CAKMAG010000008;2.669;2.590;2.543;58;8.3.6(5S.16S.23S);4
GCF_023715825.1;2254302069;JAMAXW000000000;2.791;2.713;2.594;60;7.6.1(5S.16S.23S);4
GCA_022791095.1;None;None;None;None;None;None;None;None
GCF_021403045.1;2176834170;JAJAGM000000000;2.751;2.666;2.558;59;8.7.7(5S.16S.23S);4
GCF_021403025.1;2176827910;JAJAGN000000000;2.867;2.782;2.672;59;8.7.7(5S.16S.23S);4
GCF_021402985.1;2176841495;JAJAGL000000000;2.720;2.635;2.548;59;8.7.7(5S.16S.23S);4
GCF_021366615.1;2174351146;JAHCQB000000000;2.631;2.559;2.475;59;7.1.1(5S.16S.23S);4
GCF_021189335.1;2167486047;JAIBNP000000000;2.763;2.687;2.580;60;8.3.1(5S.16S.23S);4
GCF_021189235.1;2167485683;JAIBNI000000000;2.731;2.655;2.549;60;8.3.1(5S.16S.23S);4
GCF_020229715.1;2107072837;CP066726;2.856;2.758;2.723;60;12.11.11(5S.16S.23S);4
GCF_020229695.1;2106943426;CP066721;2.878;2.790;2.754;59;9.8.8(5S.16S.23S);4
GCF_020229655.1;2106956452;CP066719;2.639;2.554;2.529;59;8.7.7(5S.16S.23S);4
GCF_020224725.1;2107145374;JAEMUG000000000;2.728;2.643;2.613;59;8.7.7(5S.16S.23S);4
GCF_020224715.1;2107180309;JAEMUF000000000;2.883;2.801;2.764;59;7.6.6(5S.16S.23S);4
GCF_019334165.1;2073335829;JAHWQU000000000;2.699;2.644;2.523;45;2.2.2(5S.16S.23S);4
GCF_910574145.1;2065364812;CAJTAJ000000000;2.780;2.704;2.667;58;7.3.4(5S.16S.23S);4
GCF_019148995.1;2064764242;JAHSUO000000000;2.631;2.609;2.513;16;1.1(16S.23S);4
GCF_018968045.1;2056628959;JAHLZW000000000;2.686;2.640;2.531;38;2.1.1(5S.16S.23S);4
GCA_018514285.1;None;None;None;None;None;None;None;None
GCF_017583125.1;2018023514;JAGEVO000000000;2.695;2.643;2.548;43;2.1.2(5S.16S.23S);4
GCA_017571165.1;None;None;None;None;None;None;None;None
GCF_016892565.1;1987790314;JAFEMT000000000;2.630;2.566;2.474;54;2.1.3(5S.16S.23S);4
GCF_015731745.1;1939643551;SSMH00000000;2.718;2.649;2.549;56;7.1.1(5S.16S.23S);4
GCF_015235475.1;1928906206;JADGLO000000000;2.739;2.663;2.553;59;8.4.1(5S.16S.23S);4
GCA_015059615.1;None;None;None;None;None;None;None;None
GCF_014267365.1;1895627044;CP060271;2.722;2.637;2.612;59;8.7.7(5S.16S.23S);4
GCF_013179695.1;1846478835;JABMCY000000000;3.549;3.472;3.124;59;6.5.3(5S.16S.23S);4
GCF_902362245.1;1727723441;CABIWF000000000;2.828;2.757;2.732;59;6.1.1(5S.16S.23S);4
GCF_902362295.1;1727749245;CABIVW000000000;2.672;2.604;2.583;57;5.1.1(5S.16S.23S);4
GCF_007992815.1;1724321498;BKAZ00000000;2.620;2.556;2.525;56;2.1.1(5S.16S.23S);4
GCF_007814625.1;1719196284;CP031275;2.708;2.623;2.607;59;8.7.7(5S.16S.23S);4
GCF_007677965.1;1719272334;VEDS00000000;2.752;2.693;2.664;52;1.1.1(5S.16S.23S);4
GCF_005864455.1;1674384792;VBTJ00000000;2.681;2.607;2.593;59;7.3.1(5S.16S.23S);4
GCF_004571015.1;1607025907;SPOU00000000;2.740;2.664;2.621;59;8.4.1(5S.16S.23S);4
GCF_003850005.1;1524701546;NWQI00000000;2.718;2.655;2.608;53;2.2.2(5S.16S.23S);4
